id,title,description,availability,condition,price,link,image_link,brand,item_group_id,product_type,gtin,mpn
sate-daging-mala__sdm-pkt,Sate Daging Pedas Mala 麻辣牛肉串 (400g * Pkt),Premium beef skewers infused with authentic tongue-numbing Sichuan Mala spices. Sizzling and aromatic. 精选嫩牛肉，融汇四川正宗麻辣风味，辛香酥麻，回味无穷。,in stock,new,29.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-daging-mala,Satay Skewer / 烧烤串,9552626879627,
sate-daging-mala__sdm-ctn,Sate Daging Pedas Mala 麻辣牛肉串 (400g * 20Pkt * Ctn),Premium beef skewers infused with authentic tongue-numbing Sichuan Mala spices. Sizzling and aromatic. 精选嫩牛肉，融汇四川正宗麻辣风味，辛香酥麻，回味无穷。,in stock,new,580.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-daging-mala,Satay Skewer / 烧烤串,,9552626879627-sdm-ctn
sate-kambing-mala__skm-pkt,Sate Kambing Pedas Mala 麻辣羊肉串 (400g * Pkt),"Tender mutton chunks marinated with bold Mala spices. Rich, spicy, and perfectly savory. 严选优质羊肉，麻辣鲜香，肥而不腻，烤后香气扑鼻。",in stock,new,33.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1603048588665-791ca8aea617?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-kambing-mala,Satay Skewer / 烧烤串,9553636779624,
sate-kambing-mala__skm-ctn,Sate Kambing Pedas Mala 麻辣羊肉串 (400g * 20Pkt * Ctn),"Tender mutton chunks marinated with bold Mala spices. Rich, spicy, and perfectly savory. 严选优质羊肉，麻辣鲜香，肥而不腻，烤后香气扑鼻。",in stock,new,660.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1603048588665-791ca8aea617?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-kambing-mala,Satay Skewer / 烧烤串,,9553636779624-skm-ctn
sate-ayam-mala__sam-pkt,Sate Ayam Pedas Mala 麻辣鸡肉串 (400g * Pkt),Succulent chicken breast skewers marinated in spicy Sichuan pepper oil and traditional seasonings. 鲜嫩鸡肉串，裹满麻辣佐料，鲜美多汁，香气饱满。,in stock,new,25.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1532550907401-a500c9a57435?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-ayam-mala,Satay Skewer / 烧烤串,9554636579627,
sate-ayam-mala__sam-ctn,Sate Ayam Pedas Mala 麻辣鸡肉串 (400g * 20Pkt * Ctn),Succulent chicken breast skewers marinated in spicy Sichuan pepper oil and traditional seasonings. 鲜嫩鸡肉串，裹满麻辣佐料，鲜美多汁，香气饱满。,in stock,new,500.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1532550907401-a500c9a57435?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-ayam-mala,Satay Skewer / 烧烤串,,9554636579627-sam-ctn
sate-daging-classic__sdc-pkt,Sate Daging 牛肉串 (400g * Pkt),"Classic Malaysian style beef satay. Richly aromatic with local spices like lemongrass, turmeric, and cumin. 大马传统风味牛肉串，香茅、黄姜、孜然香气交织，经典醇厚。",in stock,new,26.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-daging-classic,Satay Skewer / 烧烤串,9554134279623,
sate-daging-classic__sdc-ctn,Sate Daging 牛肉串 (400g * 20Pkt * Ctn),"Classic Malaysian style beef satay. Richly aromatic with local spices like lemongrass, turmeric, and cumin. 大马传统风味牛肉串，香茅、黄姜、孜然香气交织，经典醇厚。",in stock,new,520.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-daging-classic,Satay Skewer / 烧烤串,,9554134279623-sdc-ctn
sate-kambing-classic__skc-pkt,Sate Kambing 羊肉串 (400g * Pkt),"Traditional marinated mutton skewers. Incredibly tender, rich, and juicy with local herbal notes. 古法风味羊肉串，去腥留鲜，肉质滑嫩，汁水丰盈。",in stock,new,30.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1514516345957-556ca7d90a29?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-kambing-classic,Satay Skewer / 烧烤串,9554939379627,
sate-kambing-classic__skc-ctn,Sate Kambing 羊肉串 (400g * 20Pkt * Ctn),"Traditional marinated mutton skewers. Incredibly tender, rich, and juicy with local herbal notes. 古法风味羊肉串，去腥留鲜，肉质滑嫩，汁水丰盈。",in stock,new,600.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1514516345957-556ca7d90a29?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-kambing-classic,Satay Skewer / 烧烤串,,9554939379627-skc-ctn
