Product name (名称),Price (RM),Pack (规格),Description (描述),Product code (货号),Link (链接),Category (分类),Image to shoot (待拍照片)
Sate Daging Pedas Mala 麻辣牛肉串,29.00,400g * Pkt — Packet / 包,精选嫩牛肉，融汇四川正宗麻辣风味，辛香酥麻，回味无穷。 Premium beef skewers infused with authentic tongue-numbing Sichuan Mala spices. Sizzling and aromatic. | 批发规格 Bulk: 400g * 20Pkt * Ctn RM580.00,9552626879627,https://alekhlasfood.com/#catalog,Satay Skewer / 烧烤串,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?auto=format&fit=crop&w=600&q=80
Sate Kambing Pedas Mala 麻辣羊肉串,33.00,400g * Pkt — Packet / 包,"严选优质羊肉，麻辣鲜香，肥而不腻，烤后香气扑鼻。 Tender mutton chunks marinated with bold Mala spices. Rich, spicy, and perfectly savory. | 批发规格 Bulk: 400g * 20Pkt * Ctn RM660.00",9553636779624,https://alekhlasfood.com/#catalog,Satay Skewer / 烧烤串,https://images.unsplash.com/photo-1603048588665-791ca8aea617?auto=format&fit=crop&w=600&q=80
Sate Ayam Pedas Mala 麻辣鸡肉串,25.00,400g * Pkt — Packet / 包,鲜嫩鸡肉串，裹满麻辣佐料，鲜美多汁，香气饱满。 Succulent chicken breast skewers marinated in spicy Sichuan pepper oil and traditional seasonings. | 批发规格 Bulk: 400g * 20Pkt * Ctn RM500.00,9554636579627,https://alekhlasfood.com/#catalog,Satay Skewer / 烧烤串,https://images.unsplash.com/photo-1532550907401-a500c9a57435?auto=format&fit=crop&w=600&q=80
Sate Daging 牛肉串,26.00,400g * Pkt — Packet / 包,"大马传统风味牛肉串，香茅、黄姜、孜然香气交织，经典醇厚。 Classic Malaysian style beef satay. Richly aromatic with local spices like lemongrass, turmeric, and cumin. | 批发规格 Bulk: 400g * 20Pkt * Ctn RM520.00",9554134279623,https://alekhlasfood.com/#catalog,Satay Skewer / 烧烤串,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80
Sate Kambing 羊肉串,30.00,400g * Pkt — Packet / 包,"古法风味羊肉串，去腥留鲜，肉质滑嫩，汁水丰盈。 Traditional marinated mutton skewers. Incredibly tender, rich, and juicy with local herbal notes. | 批发规格 Bulk: 400g * 20Pkt * Ctn RM600.00",9554939379627,https://alekhlasfood.com/#catalog,Satay Skewer / 烧烤串,https://images.unsplash.com/photo-1514516345957-556ca7d90a29?auto=format&fit=crop&w=600&q=80
Sate Ayam 鸡肉串,22.00,400g * Pkt — Packet / 包,"大马国民美味鸡肉串，香甜入味，肉质弹牙，家少皆宜。 Malaysian national favorite chicken satay. Soft, sweet-savory marinade, perfect for the whole family. | 批发规格 Bulk: 400g * 20Pkt * Ctn RM440.00",9554131379623,https://alekhlasfood.com/#catalog,Satay Skewer / 烧烤串,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=600&q=80
Air Pir Gula Batu 冰糖雪梨,6.00,450g * Pkt — Packet / 包,"雪梨温润，加冰糖悉心慢炖，清甜滋润，清热润肺。 Sweet, soothing pear nectar double-boiled with rock sugar to soothe the throat and cool the body. | 批发规格 Bulk: 450g * 12Pkt * Ctn RM78.00",9553183093709,https://alekhlasfood.com/#catalog,Chinese Dessert Soup / 传统糖水,https://images.unsplash.com/photo-1541832676-9b763b0239ab?auto=format&fit=crop&w=600&q=80
Air Pir Gula Batu (With Bucket) 冰糖雪梨 (小桶装),6.50,450g * Pkt — Packet / 包,传统冰糖雪梨，精美桶装，携带便利，清甜更尽兴。 Convenient bucket-sized serving of our traditional sweet double-boiled pear rock sugar soup. | 批发规格 Bulk: 450g * 12Pkt * Ctn RM78.00,9553183093709,https://alekhlasfood.com/#catalog,Chinese Dessert Soup / 传统糖水,https://images.unsplash.com/photo-1541832676-9b763b0239ab?auto=format&fit=crop&w=600&q=80
Air Kelapa Laut & Longan Manis 海底椰龙眼糖水,5.50,500g * Pkt — Packet / 包,热带经典清凉糖水，香甜海底椰肉伴随干龙眼，清甜消暑。 Classic tropical refreshment combining sweet sea coconut and dried longan. Deeply hydrating. | 批发规格 Bulk: 500g * 30Pkt * Ctn RM165.00,9553183093716,https://alekhlasfood.com/#catalog,Chinese Dessert Soup / 传统糖水,https://images.unsplash.com/photo-1596797038530-2c107229654b?auto=format&fit=crop&w=600&q=80
Air Nanas & Longan Manis 菠萝龙眼糖水,5.50,500g * Pkt — Packet / 包,菠萝的微酸清甜与龙眼蜜香碰撞，带来满口爽朗果香。 A vibrant fruity fusion of tangy sweet pineapple chunks and juicy sweet longan fruits. | 批发规格 Bulk: 500g * 30Pkt * Ctn RM165.00,9553183093723,https://alekhlasfood.com/#catalog,Chinese Dessert Soup / 传统糖水,https://images.unsplash.com/photo-1618897996318-5a901fa6ca71?auto=format&fit=crop&w=600&q=80
